,id,ein,name,careofname,address,city,state,zipcode,exemption_number,subsection_code,affiliation_code,classification_codes,ruling_date,deductibility_code,foundation_code,activity_codes,organization_code,exempt_organization_status_code,tax_period,asset_code,income_code,filing_requirement_code,pf_filing_requirement_code,accounting_period,asset_amount,income_amount,revenue_amount,ntee_code,sort_name,created_at,updated_at,data_source,have_extracts,have_pdfs
0,432053499,432053499,BALTIMORE BIBLIOPHILES,% BALTIMORE BIBLIOPHILES,3513 GARDENVIEW RD,PIKESVILLE,MD,21208-1508,0,3,3,1200,2004-10-01,1,15,000000000,5,1,2020-11-01,0,0,2,0,11,0,0,0,A33,,2023-01-17T16:22:45.762Z,2023-01-17T16:22:45.762Z,,,
0,465301464,465301464,BALTIMORE PLAYHOUSE,% ROBERT JOHNSON,3010 WASHINGTON BLVD,BALTIMORE,MD,21230-1026,0,7,3,1000,2014-07-01,2,0,000000000,1,1,2021-12-01,3,3,1,0,12,34152,55575,55575,Z99,,2023-01-17T16:23:29.515Z,2023-01-17T16:23:29.515Z,,,
0,471626407,471626407,FORT BALTIMORE,% MONIQUE HAWLEY,1 SAMANTHA CT,OWINGS MILLS,MD,21117-1768,0,3,3,1000,2014-12-01,1,15,000000000,1,1,2018-12-01,0,0,2,0,12,0,0,0,L41,,2022-07-18T15:45:46.312Z,2022-07-18T15:45:46.312Z,pre_2022_08_11,,
0,882124240,882124240,NOSREME BALTIMORE,% ARIANA PARRISH,805 N WASHINGTON ST,BALTIMORE,MD,21205-1540,0,3,3,1200,2022-06-01,1,15,000000000,1,1,,0,0,2,0,12,,,,S99,,2023-01-17T16:28:03.360Z,2023-01-17T16:28:03.360Z,,,
0,823264607,823264607,SHARE BALTIMORE,% GARRICK R GOOD,PO BOX 11762,BALTIMORE,MD,21206-0362,0,3,3,1000,2020-12-01,1,16,000000000,1,1,,0,0,2,0,12,,,,A02,,2022-07-18T15:47:58.602Z,2022-07-18T15:47:58.602Z,pre_2022_08_11,,
0,814696688,814696688,BALTIMORE CONNECT,% LEON PURNELL,624 N BROADWAY,BALTIMORE,MD,21205-1900,0,3,3,1000,2017-03-01,1,16,000000000,1,1,2021-12-01,4,4,1,0,12,176906,114807,114807,P99,,2023-01-17T16:26:25.604Z,2023-01-17T16:26:25.604Z,,,
0,472983353,472983353,CAMERATA BALTIMORE,,6156 GREEN MEADOW PKWY APT B,BALTIMORE,MD,21209-3347,0,3,3,2000,2017-04-01,1,16,000000000,1,1,2022-01-01,0,0,2,0,1,0,0,0,A6B,,2023-01-17T16:23:50.273Z,2023-01-17T16:23:50.273Z,,,
0,522276751,522276751,SALONGO BALTIMORE,% PAUL BAKER,PO BOX 22332,BALTIMORE,MD,21203-4332,1729,3,9,1000,1965-04-01,1,10,059927602,5,1,,0,0,6,0,12,,,,,,2023-01-17T16:24:33.997Z,2023-01-17T16:24:33.997Z,,,
0,872886878,872886878,BALTIMORE COURTWATCH,,1014 W 36TH ST,BALTIMORE,MD,21211-2415,0,3,3,1280,2022-04-01,1,15,000000000,1,1,2021-12-01,0,0,2,0,12,0,0,0,I50,,2023-01-17T16:27:55.315Z,2023-01-17T16:27:55.315Z,,,
0,383823570,383823570,BALTIMORE DODGERS,% JUAN WATERS,10 MOLINE CT,WOODSTOCK,MD,21163-1242,0,3,3,2000,2011-05-01,1,15,000000000,1,1,2021-12-01,0,0,2,0,12,0,0,0,N63,,2023-01-17T16:21:46.548Z,2023-01-17T16:21:46.548Z,,,
0,453421557,453421557,BALTIMORE IWW,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-12T19:53:44.130Z,2022-09-12T19:53:44.130Z,irs_backfill,,
0,461066224,461066224,BALTIMORE MOOS,% SHERI BRANDENBURG COBB,PO BOX 35042,BALTIMORE,MD,21222-7042,0,3,3,1000,2013-11-01,1,16,000000000,5,1,2022-03-01,0,0,2,0,3,0,0,0,P12,,2023-01-17T16:23:08.085Z,2023-01-17T16:23:08.085Z,,,
0,200704259,200704259,BALTIMORE REVIEW,% SUSAN MUADDI DARRAJ,6514 MAPLEWOOD RD,BALTIMORE,MD,21212-2008,0,3,3,3000,2004-11-01,1,16,000000000,1,1,2021-12-01,0,0,2,0,12,0,0,0,A33,,2023-01-17T16:17:00.647Z,2023-01-17T16:17:00.647Z,,,
0,521617028,521617028,BALTIMORE LATINO,,3816 EDMONDSON AVE,BALTIMORE,MD,21229-1945,1588,3,9,7000,1963-07-01,1,10,001000000,5,1,,0,0,6,0,12,,,,,,2023-01-17T16:24:24.674Z,2023-01-17T16:24:24.674Z,,,
0,522040544,522040544,BALTIMORE CHAPTER,% ASPE KATHLEEN DWYER STEPHENS,10910 PUMP HOUSE RD,ANNAPOLIS JCT,MD,20701-1203,8130,6,9,2000,1997-10-01,2,0,205000000,1,1,2022-06-01,3,3,2,0,6,40340,33725,33725,,,2023-01-17T16:24:31.076Z,2023-01-17T16:24:31.076Z,,,
0,813819911,813819911,JOY BALTIMORE,,2653,BALTIMORE,MD,21218-0000,0,3,3,1000,2017-05-01,1,16,000000000,1,1,2021-12-01,0,0,2,0,12,0,0,0,L99,,2023-01-17T16:26:21.357Z,2023-01-17T16:26:21.357Z,,,
0,862981367,862981367,TCS BALTIMORE,,2601 PENNSYLVANIA AVE,BALTIMORE,MD,21217-1817,0,3,3,1000,2021-07-01,1,16,000000000,1,1,,0,0,2,0,12,,,,S99,,2023-01-17T16:27:46.499Z,2023-01-17T16:27:46.499Z,,,
0,520236190,520236190,BALTIMORE COUNTRY CLUB OF BALTIMORE CITY,% BALT,4712 CLUB RD,BALTIMORE,MD,21210-2228,0,7,3,1000,1942-08-01,2,0,280000000,1,1,2021-02-01,8,8,1,0,2,30395329,20237625,17757646,,,2023-01-17T16:24:13.557Z,2023-01-17T16:24:13.557Z,,,
0,521409133,521409133,BALTIMORE CLAYWORKS INC,,5707 SMITH AVE,BALTIMORE,MD,21209-3609,0,3,3,1200,1986-02-01,1,16,149091000,1,1,2021-12-01,6,6,1,0,12,2982391,1164691,1163286,A400,,2023-01-17T16:24:22.961Z,2023-01-17T16:24:22.961Z,,,
0,522238264,522238264,BALTIMORE COMMANDMENT CHURCH,,115 N PATTERSON PARK AVE,BALTIMORE,MD,21231-1659,0,3,3,7000,2001-11-01,1,10,000000000,1,1,2017-12-01,4,3,6,0,12,243293,26305,26305,X21,,2023-01-17T16:24:33.557Z,2023-01-17T16:24:33.557Z,,,
0,853416591,853416591,BALTIMORE ELITE INC,,100 HELEN AVE,BALTIMORE,OH,43105-9773,0,3,3,1000,2021-01-01,1,16,000000000,1,1,2021-09-01,0,0,2,0,9,0,0,0,N11,,2023-01-17T16:27:37.521Z,2023-01-17T16:27:37.521Z,,,
0,273799606,273799606,BALTIMORE MARATHI MANDAL,,PO BOX 2436,ELLICOTT CITY,MD,21041-2436,0,3,3,1000,2014-07-01,1,15,000000000,1,1,2021-12-01,0,0,2,0,12,0,0,0,Q20,MANGESH KHEDIKAR MBR,2023-01-17T16:19:32.687Z,2023-01-17T16:19:32.687Z,,,
0,521447595,521447595,BALTIMORE MOLES INC,% CAMILLA PERRY,12604 QUARTERHORSE DR,BOWIE,MD,20720-4325,0,3,3,1000,1988-06-01,1,15,560000000,1,1,2021-12-01,0,0,2,0,12,0,0,0,,,2023-01-17T16:24:23.316Z,2023-01-17T16:24:23.316Z,,,
0,201425727,201425727,BALTIMORE ONNURI CHURCH,% SUK JIN CHANG,23 GIBBONS BLVD,COCKEYSVILLE,MD,21030-5024,0,3,3,1000,2005-07-01,1,10,000000000,1,1,,0,0,6,0,12,,,,X20,,2023-01-17T16:17:03.227Z,2023-01-17T16:17:03.227Z,,,
0,270974158,270974158,BALTIMORE REDBIRDS INC,,2208 PINE HILL FARMS LANE,COCKEYSVILLE,MD,21030,,,,,,,,,,,,,,,,,,,,,,2022-07-19T16:54:19.263Z,2022-07-19T16:54:19.263Z,xml_backfill,,
0,814869352,814869352,BALTIMORE SHABBAT PROJECT,% NICHOLAS BERGMAN,3310 LABYRINTH RD,BALTIMORE,MD,21215-1730,0,3,3,7000,2017-06-01,1,10,000000000,1,1,,0,0,6,0,12,,,,X30,,2023-01-17T16:26:26.576Z,2023-01-17T16:26:26.576Z,,,
0,262194077,262194077,BALTIMORE SQUASHWISE INC,,2801 SISSON ST SUITE 100,BALTIMORE,MD,21211-2902,0,3,3,1000,2008-08-01,1,15,000000000,1,1,2021-06-01,6,6,1,0,6,3445397,1041030,1032451,O50,,2023-01-17T16:19:06.432Z,2023-01-17T16:19:06.432Z,,,
0,832665136,832665136,BALTIMORE STAKEHOLDERS INC,% ARTHUR SWARTOUT,412 E RANDALL ST,BALTIMORE,MD,21230-4622,0,3,3,1200,2019-05-01,1,4,000000000,1,1,,0,0,0,1,12,,,,O23,,2021-07-16T14:54:59.878Z,2021-07-16T14:54:59.878Z,pre_2021_08_24,,
0,522085844,522085844,BALTIMORE TEACHER NETWORK,% ERIC RICE,940 MADISON AVE SUITE L1,BALTIMORE,MD,21201-2113,0,3,3,2000,1998-10-01,1,15,994120000,1,1,2021-06-01,5,7,1,0,6,946016,9867724,9863712,A33,,2023-01-17T16:24:31.954Z,2023-01-17T16:24:31.954Z,,,
0,521420138,521420138,BLUE WATER BALTIMORE,,2631 SISSON ST,BALTIMORE,MD,21211-3119,0,3,3,1000,1994-08-01,1,16,351000000,1,1,2021-12-01,6,6,1,0,12,1955716,2742397,2552137,C013,,2023-01-17T16:24:23.048Z,2023-01-17T16:24:23.048Z,,,
0,522074242,522074242,CHURCH OF BALTIMORE,% DAVID WANG,7226 DOCKSIDE LN,COLUMBIA,MD,21045-5019,0,3,3,7000,1998-08-01,1,10,001000000,1,1,,0,0,6,0,12,,,,X21Z,,2023-01-17T16:24:31.850Z,2023-01-17T16:24:31.850Z,,,
0,522122068,522122068,IMPACT BALTIMORE INC,,945 E 30TH ST,BALTIMORE,MD,21218-4214,0,3,3,1000,1999-02-01,1,15,000000000,1,1,2021-12-01,2,2,2,0,12,17293,16518,16518,S22,,2023-01-17T16:24:32.383Z,2023-01-17T16:24:32.383Z,,,
0,842098343,842098343,LOVE BALTIMORE PROJECT,% TYRAN DEMINDS,2514 EDGECOMBE CIR N APT I,BALTIMORE,MD,21215-6849,0,3,3,1230,2020-02-01,1,16,000000000,1,1,,0,0,2,0,12,,,,Z99,,2022-07-18T15:48:25.121Z,2022-07-18T15:48:25.121Z,pre_2022_08_11,,
0,383888146,383888146,POE BALTIMORE INC,% KRISTEN L HARBESON DIRECTOR,PO BOX 23773,BALTIMORE,MD,21203-5773,0,3,3,1200,2013-07-01,1,15,000000000,1,1,2021-12-01,4,4,1,0,12,243286,227170,200538,A50,,2023-01-17T16:21:47.152Z,2023-01-17T16:21:47.152Z,,,
0,863749321,863749321,RADICAL CITY BALTIMORE,% TEKESHA TYSON,PO BOX 1906,GLEN BURNIE,MD,21060-1906,0,3,3,7000,2022-05-01,1,10,000000000,1,1,,0,0,6,0,12,,,,X20,,2023-01-17T16:27:48.205Z,2023-01-17T16:27:48.205Z,,,
0,262909125,262909125,REACH BALTIMORE INC,% CARLTON G EPPS SR,2701 ST LO DRIVE,BALTIMORE,MD,21213-1100,0,3,3,2000,2011-02-01,1,11,000000000,1,1,2021-06-01,2,7,1,0,6,23671,6674977,6674977,B29,REACH PARTNERSHIP,2023-01-17T16:19:10.111Z,2023-01-17T16:19:10.111Z,,,
0,844366851,844366851,RECONCILE BALTIMORE INC,% DENISE DUVAL,1809 DIXON RD,BALTIMORE,MD,21209-3505,0,3,3,1000,2020-06-01,1,15,000000000,1,1,2021-12-01,0,0,2,0,12,0,0,0,R30,,2023-01-17T16:27:23.353Z,2023-01-17T16:27:23.353Z,,,
0,850787940,850787940,RIVER CHURCH BALTIMORE,% KAREN LATRECE CARPENTER,PO BOX 1066,SPARKS GLENCO,MD,21152-1066,0,3,3,7000,2020-09-01,1,10,000000000,1,1,,0,0,6,0,12,,,,X20,NATIONS ABLAZE MINISTRIES,2023-01-17T16:27:28.665Z,2023-01-17T16:27:28.665Z,,,
