,ein,strein,name,sub_name,city,state,ntee_code,raw_ntee_code,subseccd,has_subseccd,have_filings,have_extracts,have_pdfs,score
0,432053499,43-2053499,BALTIMORE BIBLIOPHILES,BALTIMORE BIBLIOPHILES,PIKESVILLE,MD,A33,A33,3,True,,,,6046.8335
1,465301464,46-5301464,BALTIMORE PLAYHOUSE,BALTIMORE PLAYHOUSE,BALTIMORE,MD,Z99,Z99,7,True,,,,6046.8335
2,471626407,47-1626407,FORT BALTIMORE,FORT BALTIMORE,OWINGS MILLS,MD,L41,L41,3,True,,,,6046.8335
3,882124240,88-2124240,NOSREME BALTIMORE,NOSREME BALTIMORE,BALTIMORE,MD,S99,S99,3,True,,,,6046.8335
4,823264607,82-3264607,SHARE BALTIMORE,SHARE BALTIMORE,BALTIMORE,MD,A02,A02,3,True,,,,6046.8335
5,814696688,81-4696688,BALTIMORE CONNECT,BALTIMORE CONNECT,BALTIMORE,MD,P99,P99,3,True,,,,5994.479
6,472983353,47-2983353,CAMERATA BALTIMORE,CAMERATA BALTIMORE,BALTIMORE,MD,A6B,A6B,3,True,,,,5994.479
7,522276751,52-2276751,SALONGO BALTIMORE,SALONGO BALTIMORE,BALTIMORE,MD,,,3,True,,,,5994.479
8,872886878,87-2886878,BALTIMORE COURTWATCH,BALTIMORE COURTWATCH,BALTIMORE,MD,I50,I50,3,True,,,,5981.924
9,383823570,38-3823570,BALTIMORE DODGERS,BALTIMORE DODGERS,WOODSTOCK,MD,N63,N63,3,True,,,,5981.924
10,453421557,45-3421557,BALTIMORE IWW,BALTIMORE IWW,,ZZ,,,0,False,,,,5981.924
11,461066224,46-1066224,BALTIMORE MOOS,BALTIMORE MOOS,BALTIMORE,MD,P12,P12,3,True,,,,5981.924
12,200704259,20-0704259,BALTIMORE REVIEW,BALTIMORE REVIEW,BALTIMORE,MD,A33,A33,3,True,,,,5981.924
13,521617028,52-1617028,BALTIMORE LATINO,BALTIMORE LATINO,BALTIMORE,MD,,,3,True,,,,5905.6323
14,522040544,52-2040544,BALTIMORE CHAPTER,BALTIMORE CHAPTER,ANNAPOLIS JCT,MD,,,6,True,,,,5852.641
15,813819911,81-3819911,JOY BALTIMORE,JOY BALTIMORE,BALTIMORE,MD,L99,L99,3,True,,,,5852.641
16,862981367,86-2981367,TCS BALTIMORE,TCS BALTIMORE,BALTIMORE,MD,S99,S99,3,True,,,,5852.641
17,520236190,52-0236190,BALTIMORE COUNTRY CLUB OF BALTIMORE CITY,BALTIMORE COUNTRY CLUB OF BALTIMORE CITY,BALTIMORE,MD,,,7,True,,,,5731.424
18,521409133,52-1409133,BALTIMORE CLAYWORKS INC,BALTIMORE CLAYWORKS INC,BALTIMORE,MD,A400,A400,3,True,,,,5405.7305
19,522238264,52-2238264,BALTIMORE COMMANDMENT CHURCH,BALTIMORE COMMANDMENT CHURCH,BALTIMORE,MD,X21,X21,3,True,,,,5405.7305
20,853416591,85-3416591,BALTIMORE ELITE INC,BALTIMORE ELITE INC,BALTIMORE,OH,N11,N11,3,True,,,,5405.7305
21,273799606,27-3799606,BALTIMORE MARATHI MANDAL,BALTIMORE MARATHI MANDAL ,ELLICOTT CITY,MD,Q20,Q20,3,True,,,,5405.7305
22,521447595,52-1447595,BALTIMORE MOLES INC,BALTIMORE MOLES INC,BOWIE,MD,,,3,True,,,,5405.7305
23,201425727,20-1425727,BALTIMORE ONNURI CHURCH,BALTIMORE ONNURI CHURCH,COCKEYSVILLE,MD,X20,X20,3,True,,,,5405.7305
24,270974158,27-0974158,BALTIMORE REDBIRDS INC,BALTIMORE REDBIRDS INC,COCKEYSVILLE,MD,,,0,False,,,,5405.7305
25,814869352,81-4869352,BALTIMORE SHABBAT PROJECT,BALTIMORE SHABBAT PROJECT,BALTIMORE,MD,X30,X30,3,True,,,,5405.7305
26,262194077,26-2194077,BALTIMORE SQUASHWISE INC,BALTIMORE SQUASHWISE INC,BALTIMORE,MD,O50,O50,3,True,,,,5405.7305
27,832665136,83-2665136,BALTIMORE STAKEHOLDERS INC,BALTIMORE STAKEHOLDERS INC,BALTIMORE,MD,O23,O23,3,True,,,,5405.7305
28,522085844,52-2085844,BALTIMORE TEACHER NETWORK,BALTIMORE TEACHER NETWORK,BALTIMORE,MD,A33,A33,3,True,,,,5405.7305
29,521420138,52-1420138,BLUE WATER BALTIMORE,BLUE WATER BALTIMORE,BALTIMORE,MD,C013,C013,3,True,,,,5405.7305
30,522074242,52-2074242,CHURCH OF BALTIMORE,CHURCH OF BALTIMORE,COLUMBIA,MD,X21Z,X21Z,3,True,,,,5405.7305
31,522122068,52-2122068,IMPACT BALTIMORE INC,IMPACT BALTIMORE INC,BALTIMORE,MD,S22,S22,3,True,,,,5405.7305
32,842098343,84-2098343,LOVE BALTIMORE PROJECT,LOVE BALTIMORE PROJECT,BALTIMORE,MD,Z99,Z99,3,True,,,,5405.7305
33,383888146,38-3888146,POE BALTIMORE INC,POE BALTIMORE INC,BALTIMORE,MD,A50,A50,3,True,,,,5405.7305
34,863749321,86-3749321,RADICAL CITY BALTIMORE,RADICAL CITY BALTIMORE,GLEN BURNIE,MD,X20,X20,3,True,,,,5405.7305
35,262909125,26-2909125,REACH BALTIMORE INC,REACH BALTIMORE INC ,BALTIMORE,MD,B29,B29,3,True,,,,5405.7305
36,844366851,84-4366851,RECONCILE BALTIMORE INC,RECONCILE BALTIMORE INC,BALTIMORE,MD,R30,R30,3,True,,,,5405.7305
37,850787940,85-0787940,RIVER CHURCH BALTIMORE,RIVER CHURCH BALTIMORE ,SPARKS GLENCO,MD,X20,X20,3,True,,,,5405.7305
